,time_0,activation_probability
382,1133.2959647515977,1.2881427399549966e-08
383,1471.1093686140662,4.7057675554028325e-08
384,1307.754614657776,2.023655769136955e-07
385,1299.92178138487,2.5256534379604107e-07
386,1376.3423441131392,2.775854588049464e-23
387,1360.2434495672292,8.290348128603276e-09
388,1401.037112510852,1.793348652709825e-19
389,1457.8070463221302,2.787008868021428e-08
390,1097.903842607024,6.754219619677892e-07
391,1112.2540072780387,3.5871942190174276e-08
392,1105.957350208469,3.0876727951465034e-07
393,1149.0641157970433,1.9151581535687348e-07
394,1305.6759779585777,1.4081493299624437e-08
395,1929.9063182633017,3.511572213158101e-12
396,1669.1953999121008,3.9722986474966605e-08
397,2178.106290783556,3.315748567756449e-16
398,632.1022747573206,5.887387679740542e-10
399,747.6128483719564,2.691651940226533e-05
400,1040.593306025877,1.8962376257063027e-17
401,1048.9803720457628,3.026368171060826e-08
402,1372.2383589276972,8.546558817075068e-08
403,771.7594093725322,4.797225710627833e-05
404,839.1902012691659,5.528491643862649e-05
405,1522.1821965251024,1.2317227254269394e-08
406,663.2311155428239,3.693946379659994e-06
407,978.0617412916663,9.237528497789212e-13
408,1003.1681442569277,1.8468116720081307e-05
409,284.0363754498266,0.00045235795318360883
410,289.68787186519575,0.0008012512637060827
411,346.5544977764124,0.0008374318282533624
412,320.5364821672782,0.00215436212825776
413,330.169197268284,8.301597348405905e-05
414,303.02453687310634,0.0010344819479563738
415,381.9666509761954,6.8871864681035225e-09
416,350.07763997257297,2.468515689372237e-05
417,434.83690436413565,8.88697044511058e-05
418,409.7488864426333,2.995153930767681e-06
419,488.68409756638505,0.0008737823461756114
420,608.2576704125206,0.000573617416157799
421,596.8124861052131,0.00013514174891978946
422,644.0681117767552,4.077663029622617e-06
423,653.9251204647704,6.737111602670847e-07
424,710.837584498197,0.00028744240639374104
425,832.7364759760649,1.161883620819502e-06
426,863.6046102695585,3.412601042041294e-06
427,1163.360530576768,3.498817270128347e-07
428,1269.3592428249447,8.160372301473665e-36
429,344.43505596706876,2.5054898446976373e-12
430,419.8183840563309,5.035077906467546e-11
431,370.30337215513896,3.8159560229934864e-11
432,415.18719858276506,0.0005155042916039068
433,493.02810128309363,3.817317285407999e-07
434,471.02682537085695,0.0001648671946778681
435,492.63707240315426,0.00019200044868278868
436,530.5649448028191,1.038522396015191e-15
437,500.81730843969393,8.570911395664095e-06
438,593.3999060681572,0.00028166690618881623
439,584.9257503973172,1.8877909215735704e-08
440,579.9344149956183,1.0859031085778811e-06
441,662.3677823022138,1.838319975484611e-07
442,633.5062974559957,9.959938067928102e-11
443,607.5173509275166,6.763007281336924e-10
444,688.2170457815608,5.087295059103136e-07
445,686.2354814758191,3.15473151215854e-14
446,694.12006398162,2.3282822013145198e-20
447,689.9068324906796,4.473036335446679e-06
448,722.278054021175,8.522290822687371e-06
449,696.6492871427326,0.00010580733147647035
450,713.3767829058381,4.5027206607388684e-07
451,754.4319925852753,0.00012950204314458532
452,761.5538198389703,1.201062992272012e-16
453,733.9290322917716,5.984267467106936e-10
454,740.0233547153806,4.973850324879176e-07
455,779.4866404485373,9.89417203023254e-06
456,739.6747054106806,3.7258854024989557e-06
457,750.8582226878339,7.46956741614471e-06
458,790.9397937855038,1.182377291462705e-08
459,806.7424947762786,4.415911813298042e-05
